cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
251581,174,1021,46.5,-104.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251581_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251593,174,1033,46.5,-101.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251593_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
251594,174,1034,46.5,-101.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251594_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
253004,175,1004,46.25,-109.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253004_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
253008,175,1008,46.25,-108.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253008_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
253010,175,1010,46.25,-107.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253010_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
253016,175,1016,46.25,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253016_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
253040,175,1040,46.25,-100.0,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253040_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
253041,175,1041,46.25,-99.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253041_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
253042,175,1042,46.25,-99.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253042_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
253065,175,1065,46.25,-93.75,MN,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_253065_MN_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
