cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
296169,205,969,38.75,-117.75,NV
296176,205,976,38.75,-116.0,NV
296185,205,985,38.75,-113.75,UT
296186,205,986,38.75,-113.5,UT
296188,205,988,38.75,-113.0,UT
296196,205,996,38.75,-111.0,UT
296197,205,997,38.75,-110.75,UT
296198,205,998,38.75,-110.5,UT
296199,205,999,38.75,-110.25,UT
296200,205,1000,38.75,-110.0,UT
296201,205,1001,38.75,-109.75,UT
296217,205,1017,38.75,-105.75,CO
296222,205,1022,38.75,-104.5,CO
296223,205,1023,38.75,-104.25,CO
296224,205,1024,38.75,-104.0,CO
296225,205,1025,38.75,-103.75,CO
296226,205,1026,38.75,-103.5,CO
296227,205,1027,38.75,-103.25,CO
296228,205,1028,38.75,-103.0,CO
296229,205,1029,38.75,-102.75,CO
296230,205,1030,38.75,-102.5,CO
296232,205,1032,38.75,-102.0,KS
296243,205,1043,38.75,-99.25,KS
297606,206,966,38.5,-118.5,NV
297607,206,967,38.5,-118.25,NV
297610,206,970,38.5,-117.5,NV
297615,206,975,38.5,-116.25,NV
297616,206,976,38.5,-116.0,NV
297617,206,977,38.5,-115.75,NV
297620,206,980,38.5,-115.0,NV
297625,206,985,38.5,-113.75,UT
297636,206,996,38.5,-111.0,UT
297637,206,997,38.5,-110.75,UT
297638,206,998,38.5,-110.5,UT
297639,206,999,38.5,-110.25,UT
297640,206,1000,38.5,-110.0,UT
297663,206,1023,38.5,-104.25,CO
297664,206,1024,38.5,-104.0,CO
297665,206,1025,38.5,-103.75,CO
297666,206,1026,38.5,-103.5,CO
297667,206,1027,38.5,-103.25,CO
297669,206,1029,38.5,-102.75,CO
